	名前	論文名	雑誌名、巻号、ページの範囲	出版年	DOI	PMID	
1	"中村 保一, 谷澤 靖洋, 矢倉 勝, 伊藤 佑"	"Chromatin Organization in Early Land Plants Reveals an Ancestral Association between H3K27me3, Transposons, and Constitutive Heterochromatin."	"Curr Biol
. 2020 Feb 24;30(4):573-588.e7."	2020	doi: 10.1016/j.cub.2019.12.015.	32004456	
2	"中村 保一, 谷澤 靖洋, 遠野 雅徳"	Reclassification of Clostridium diolis Biebl and Spr?er 2003 as a later heterotypic synonym of Clostridium beijerinckii Donker 1926 (Approved Lists 1980) emend. Keis et al. 2001	"Int J Syst Evol Microbiol
. 2020 Apr;70(4):2463-2466."	2020	doi: 10.1099/ijsem.0.004059.	32068529	
3	太田 明伸	Tandem Paired Nicking Promotes Precise Genome Editing with Scarce Interference by p53.	"Cell Rep
. 2020 Jan 28;30(4):1195-1207.e7."	2020	doi: 10.1016/j.celrep.2019.12.064.	31995758	
4	坊農 秀雅	All of gene expression (AOE): An integrated index for public gene expression databases	"PLoS One
. 2020 Jan 24;15(1):e0227076."	2020	doi: 10.1371/journal.pone.0227076.	31978081	
5	坊農 秀雅	Meta-Analysis of Hypoxic Transcriptomes from Public Databases	"Biomedicines
. 2020 Jan 9;8(1):10."	2020	doi: 10.3390/biomedicines8010010.	31936636	
6	井原 邦夫	gas1 Mutation Extends Chronological Lifespan via Pmk1 and Sty1 MAPKs in Schizosaccharomyces pombe	"Biosci Biotechnol Biochem
. 2020 Feb;84(2):330-337."	2020	doi: 10.1080/09168451.2019.1676695.	31601154	
7	福永 津嵩	Targeting the TR4 nuclear receptor-mediated lncTASR/AXL signaling with tretinoin increases the sunitinib sensitivity to better suppress the RCC progression	"Oncogene
. 2020 Jan;39(3):530-545."	2020	doi: 10.1038/s41388-019-0962-8.	31501521	
8	小野 肇	Functional characterization of olfactory receptors in three Dacini fruit flies (Diptera: Tephritidae) that respond to 1-nonanol analogs as components in the rectal glands	Comp Biochem Physiol B Biochem Mol Biol. 2020 Jan;239:110346.	2020	doi: 10.1016/j.cbpb.2019.110346.	31499218	
9	加藤 有己	Bivartect: accurate and memory-saving breakpoint detection by direct read comparison	"Bioinformatics
. 2020 May 1;36(9):2725-2730."	2020	doi: 10.1093/bioinformatics/btaa059.	31985791	
10	井戸川 雅史	p53-induced ARVCF modulates the splicing landscape and supports the tumor suppressive function of p53.	"Oncogene
. 2020 Mar;39(10):2202-2211."	2020	doi: 10.1038/s41388-019-1133-7.	31827232	
11	保坂 健太郎	Complementary molecular methods reveal comprehensive phylogenetic diversity integrating inconspicuous lineages of early-diverged wood-decaying mushrooms	"Sci Rep
. 2020 Feb 20;10(1):3057. "	2020	doi: 10.1038/s41598-020-59620-0.	32080243	
12	"豊田 敦, 水口 洋平"	The mechanoreceptor DEG-1 regulates cold tolerance in Caenorhabditis elegans.	"EMBO Rep
. 2020 Mar 4;21(3):e48671."	2020	doi: 10.15252/embr.201948671.	32009302	
13	藤井 雅史	Affinity of rhodopsin to raft enables the aligned oligomer formation from dimers: Coarse-grained molecular dynamics simulation of disk membranes	"PLoS One
. 2020 Feb 7;15(2):e0226123."	2020	doi: 10.1371/journal.pone.0226123.	32032370	
14	漆原 範子	Novel staphylococcal cassette chromosome mec (SCCmec) type XIV (5A) and a truncated SCCmec element in SCC composite islands carrying speG in ST5 MRSA in Japan.	"J Antimicrob Chemother
. 2020 Jan 1;75(1):46-50. "	2020	doi: 10.1093/jac/dkz406.	31617906	
15	西山 智明	Anthoceros genomes illuminate the origin of land plants and the unique biology of hornworts	"Nat Plants
. 2020 Mar;6(3):259-272. "	2020	doi: 10.1038/s41477-020-0618-2.	32170292	
